total_crashes,cyclist_injured,cyclist_killed,motorist_injured,motorist_killed,pedestrian_injured,pedestrian_killed,persons_injured,persons_killed,year_month,council
347,3,0,66,0,10,0,79,0,2017-06,13
281,2,0,95,0,15,0,112,0,2017-06,14
318,9,0,62,0,14,0,85,0,2017-06,15
271,7,0,62,0,18,0,87,0,2017-06,16
379,7,0,80,0,17,0,104,0,2017-06,17
287,5,0,60,0,4,0,69,0,2017-06,18
415,3,0,54,0,3,0,60,0,2017-06,19
394,12,0,60,0,11,0,83,0,2017-06,20
254,12,0,62,0,5,0,79,0,2017-06,21
311,9,0,61,0,13,0,83,0,2017-06,22
409,1,0,131,0,3,0,135,0,2017-06,23
321,8,0,80,0,13,0,101,0,2017-06,24
211,9,0,22,0,9,0,40,0,2017-06,25
467,15,0,96,1,17,0,128,1,2017-06,26
380,4,0,133,2,9,0,146,2,2017-06,27
453,5,0,137,0,16,0,158,0,2017-06,28
367,7,0,63,0,15,0,85,0,2017-06,29
357,6,0,69,0,6,0,81,0,2017-06,30
428,3,0,153,0,17,0,173,0,2017-06,31
344,5,0,59,0,10,0,74,0,2017-06,32
551,18,0,77,0,16,0,111,0,2017-06,33
440,28,1,89,0,11,0,128,1,2017-06,34
299,16,0,51,0,16,0,83,0,2017-06,35
269,15,0,79,0,17,0,111,0,2017-06,36
351,16,0,69,0,11,0,96,0,2017-06,37
396,13,0,74,0,14,0,101,0,2017-06,38
363,28,0,37,0,16,0,81,0,2017-06,39
239,9,0,65,0,14,0,88,0,2017-06,40
310,8,0,107,0,15,0,130,0,2017-06,41
391,9,0,130,0,25,0,164,0,2017-06,42
323,7,0,63,0,19,0,89,0,2017-06,43
258,13,0,30,0,21,0,64,0,2017-06,44
258,2,0,79,0,4,0,85,0,2017-06,45
329,3,0,80,0,7,1,90,1,2017-06,46
248,8,0,45,0,12,0,65,0,2017-06,47
283,6,0,49,0,15,0,70,0,2017-06,48
313,4,0,50,0,14,0,68,0,2017-06,49
379,2,0,72,0,13,1,87,1,2017-06,50
229,1,0,55,0,7,1,63,1,2017-06,51
510,18,0,54,0,20,0,92,0,2017-07,1
276,16,0,25,0,23,1,64,1,2017-07,2
622,15,0,50,0,27,0,92,0,2017-07,3
574,15,0,54,0,30,1,99,1,2017-07,4
195,7,0,24,0,14,0,45,0,2017-07,5
242,13,0,28,0,6,0,47,0,2017-07,6
171,5,0,43,0,5,0,53,0,2017-07,7
458,14,0,97,0,19,0,130,0,2017-07,8
255,11,0,49,0,19,0,79,0,2017-07,9
212,8,0,27,0,7,0,42,0,2017-07,10
225,4,0,61,0,7,0,72,0,2017-07,11
237,4,0,58,0,8,0,70,0,2017-07,12
288,6,0,100,0,7,1,113,1,2017-07,13
222,0,0,76,0,10,0,86,0,2017-07,14
305,9,0,67,0,16,0,92,0,2017-07,15
229,5,0,55,0,17,0,77,0,2017-07,16
353,13,0,93,2,20,0,126,2,2017-07,17
195,0,0,44,0,1,0,45,0,2017-07,18
366,3,0,75,0,7,0,85,0,2017-07,19
383,6,0,69,0,18,0,93,0,2017-07,20
261,9,0,53,0,8,0,70,0,2017-07,21
273,14,0,44,0,7,0,65,0,2017-07,22
333,1,0,104,0,8,0,113,0,2017-07,23
322,1,0,68,2,10,0,79,2,2017-07,24
187,8,0,29,0,6,0,43,0,2017-07,25
461,14,0,67,0,8,0,89,0,2017-07,26
390,6,0,127,0,22,1,155,1,2017-07,27
411,8,0,119,0,12,0,139,0,2017-07,28
312,4,0,71,0,9,0,84,0,2017-07,29
323,4,0,74,0,12,0,90,0,2017-07,30
390,5,0,104,0,16,0,125,0,2017-07,31
365,11,0,80,0,4,0,95,0,2017-07,32
497,24,1,71,0,16,0,111,1,2017-07,33
380,29,0,73,1,12,0,114,1,2017-07,34
